"supplementary_asset_id","paper_id","paper_id_namespace","source_asset_id","parent_archive_asset_id","parent_archive_sha256","member_path","member_sha256","media_type","size_bytes","parser_id","operation_result_id","source_locator"
"PMC10408569::asset_a0d0009b2acde6ffe58e476b4591a1a4c500adadfc2d1ae1420b44c3a9f3789a","PMC10408569","pmc","asset_a0d0009b2acde6ffe58e476b4591a1a4c500adadfc2d1ae1420b44c3a9f3789a","","","","","","","","","{""locator_version"":""2.0"",""locator_type"":""json_pointer"",""asset_id"":""asset_a0d0009b2acde6ffe58e476b4591a1a4c500adadfc2d1ae1420b44c3a9f3789a"",""logical_file"":""source_assets/asset_a0d0009b2acde6ffe58e476b4591a1a4c500adadfc2d1ae1420b44c3a9f3789a/PMC10408569_supplementary.zip"",""raw_value"":""registered supplementary carrier"",""json_pointer"":""/""}"
"PMC5355725::asset_63d8e571455c72dfa3045aa4b1ce05cdd2b9ec87e3e9bbb0d705f81bac74ea48","PMC5355725","pmc","asset_63d8e571455c72dfa3045aa4b1ce05cdd2b9ec87e3e9bbb0d705f81bac74ea48","","","","","","","","","{""locator_version"":""2.0"",""locator_type"":""json_pointer"",""asset_id"":""asset_63d8e571455c72dfa3045aa4b1ce05cdd2b9ec87e3e9bbb0d705f81bac74ea48"",""logical_file"":""source_assets/asset_63d8e571455c72dfa3045aa4b1ce05cdd2b9ec87e3e9bbb0d705f81bac74ea48/PMC5355725_supplementary.zip"",""raw_value"":""registered supplementary carrier"",""json_pointer"":""/""}"
"PMC5355725::asset_38428f9b7c2dbefb063ba78bd33a754c4862c3add8a983faa6682dfd06a8e9c4","PMC5355725","pmc","asset_38428f9b7c2dbefb063ba78bd33a754c4862c3add8a983faa6682dfd06a8e9c4","","","","","","","","","{""locator_version"":""2.0"",""locator_type"":""json_pointer"",""asset_id"":""asset_38428f9b7c2dbefb063ba78bd33a754c4862c3add8a983faa6682dfd06a8e9c4"",""logical_file"":""source_assets/extract/63d8e571455c/38428f9b7c2dbefb063ba78bd33a754c4862c3add8a983faa6682dfd06a8e9c4.jpg"",""raw_value"":""registered supplementary carrier"",""json_pointer"":""/""}"
"PMC5094958::asset_b2edfa70148c61912cd0526bd4dca77e235aa0f954fd45e6067bb04520af0f94","PMC5094958","pmc","asset_b2edfa70148c61912cd0526bd4dca77e235aa0f954fd45e6067bb04520af0f94","","","","","","","","","{""locator_version"":""2.0"",""locator_type"":""json_pointer"",""asset_id"":""asset_b2edfa70148c61912cd0526bd4dca77e235aa0f954fd45e6067bb04520af0f94"",""logical_file"":""source_assets/asset_b2edfa70148c61912cd0526bd4dca77e235aa0f954fd45e6067bb04520af0f94/PMC5094958_supplementary.zip"",""raw_value"":""registered supplementary carrier"",""json_pointer"":""/""}"
