source_id,database,accession,url,title,retrieved_at
src_f6058184aaf6e53ec68732f3d6599c55,pubmed,34180400,https://pubmed.ncbi.nlm.nih.gov/34180400/,Unique integrated stress response sensors regulate cancer cell susceptibility when Hsp70 activity is compromised.,2026-07-12T08:00:00Z
src_ac3f65715090fc35dff94baae79981fb,geo,GSE178352,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178352,Unique integrated stress response sensors regulate cancer cell susceptibility when Hsp70 activity is compromised,2026-07-12T08:00:00Z
